Variable,Label,Question,Question Text,Type,Response Type,Codes,Value Labels,Page,Section,Derived,Hidden,Row,Column,Option,Notes
LF_WHY_3,What is the main reason for your score for …? (lfbrand 3),Q64,What is the main reason for your score for …?,text,long_text,,,p_lf_loop,,,,,,,"iteration 3 of loop ""lfbrand"""
LF_WHY_4,What is the main reason for your score for …? (lfbrand 4),Q64,What is the main reason for your score for …?,text,long_text,,,p_lf_loop,,,,,,,"iteration 4 of loop ""lfbrand"""
LF_WHY_5,What is the main reason for your score for …? (lfbrand 5),Q64,What is the main reason for your score for …?,text,long_text,,,p_lf_loop,,,,,,,"iteration 5 of loop ""lfbrand"""
LF_WHY_6,What is the main reason for your score for …? (lfbrand 6),Q64,What is the main reason for your score for …?,text,long_text,,,p_lf_loop,,,,,,,"iteration 6 of loop ""lfbrand"""
LF_WHY_7,What is the main reason for your score for …? (lfbrand 7),Q64,What is the main reason for your score for …?,text,long_text,,,p_lf_loop,,,,,,,"iteration 7 of loop ""lfbrand"""
LF_WHY_8,What is the main reason for your score for …? (lfbrand 8),Q64,What is the main reason for your score for …?,text,long_text,,,p_lf_loop,,,,,,,"iteration 8 of loop ""lfbrand"""
LF_WHY_9,What is the main reason for your score for …? (lfbrand 9),Q64,What is the main reason for your score for …?,text,long_text,,,p_lf_loop,,,,,,,"iteration 9 of loop ""lfbrand"""
LF_WHY_10,What is the main reason for your score for …? (lfbrand 10),Q64,What is the main reason for your score for …?,text,long_text,,,p_lf_loop,,,,,,,"iteration 10 of loop ""lfbrand"""
LF_WHY_11,What is the main reason for your score for …? (lfbrand 11),Q64,What is the main reason for your score for …?,text,long_text,,,p_lf_loop,,,,,,,"iteration 11 of loop ""lfbrand"""
LF_WHY_12,What is the main reason for your score for …? (lfbrand 12),Q64,What is the main reason for your score for …?,text,long_text,,,p_lf_loop,,,,,,,"iteration 12 of loop ""lfbrand"""
CURIOUS_BRAND,"Of the brands you know but have not used, which are you most curious about?",Q65,"Of the brands you know but have not used, which are you most curious about?",numeric,single_select,"1,2,3,4,5,6,7,8,9,10,11,12",1=Apple; 2=Samsung; 3=Google; 4=Xiaomi; 5=OnePlus; 6=Sony; 7=Microsoft; 8=Amazon; 9=Huawei; 10=Lenovo; 11=Dell; 12=LG,p_listops_1,,,,,,,
CORE_BRAND,Which of the brands you both use and trust would you call your core brand?,Q67,Which of the brands you both use and trust would you call your core brand?,numeric,single_select,"1,2,3,4,5,6,7,8,9,10,11,12",1=Apple; 2=Samsung; 3=Google; 4=Xiaomi; 5=OnePlus; 6=Sony; 7=Microsoft; 8=Amazon; 9=Huawei; 10=Lenovo; 11=Dell; 12=LG,p_listops_2,,,,,,,
NEVER_SEEN_1,Q68 — Apple,Q68,Which of these brands had you never heard of before today?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_2,,,,,,1,
NEVER_SEEN_2,Q68 — Samsung,Q68,Which of these brands had you never heard of before today?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_2,,,,,,2,
NEVER_SEEN_3,Q68 — Google,Q68,Which of these brands had you never heard of before today?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_2,,,,,,3,
NEVER_SEEN_4,Q68 — Xiaomi,Q68,Which of these brands had you never heard of before today?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_2,,,,,,4,
NEVER_SEEN_5,Q68 — OnePlus,Q68,Which of these brands had you never heard of before today?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_2,,,,,,5,
NEVER_SEEN_6,Q68 — Sony,Q68,Which of these brands had you never heard of before today?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_2,,,,,,6,
NEVER_SEEN_7,Q68 — Microsoft,Q68,Which of these brands had you never heard of before today?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_2,,,,,,7,
NEVER_SEEN_8,Q68 — Amazon,Q68,Which of these brands had you never heard of before today?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_2,,,,,,8,
NEVER_SEEN_9,Q68 — Huawei,Q68,Which of these brands had you never heard of before today?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_2,,,,,,9,
NEVER_SEEN_10,Q68 — Lenovo,Q68,Which of these brands had you never heard of before today?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_2,,,,,,10,
NEVER_SEEN_11,Q68 — Dell,Q68,Which of these brands had you never heard of before today?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_2,,,,,,11,
NEVER_SEEN_12,Q68 — LG,Q68,Which of these brands had you never heard of before today?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_2,,,,,,12,
SORTED_PICK,"From this alphabetical list of the brands you use, which has the best customer service?",Q69,"From this alphabetical list of the brands you use, which has the best customer service?",numeric,single_select,,,p_listops_3,,,,,,,
RANDOM_THREE,"Of these three brands (chosen at random from those you know), which would you research first?",Q70,"Of these three brands (chosen at random from those you know), which would you research first?",numeric,single_select,,,p_listops_3,,,,,,,
MASKED_SET_1,Q71 — Apple,Q71,Which of these brands would you recommend to a friend?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_3,,,,,,1,
MASKED_SET_2,Q71 — Samsung,Q71,Which of these brands would you recommend to a friend?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_3,,,,,,2,
MASKED_SET_3,Q71 — Google,Q71,Which of these brands would you recommend to a friend?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_3,,,,,,3,
MASKED_SET_4,Q71 — Xiaomi,Q71,Which of these brands would you recommend to a friend?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_3,,,,,,4,
MASKED_SET_5,Q71 — OnePlus,Q71,Which of these brands would you recommend to a friend?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_3,,,,,,5,
MASKED_SET_6,Q71 — Sony,Q71,Which of these brands would you recommend to a friend?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_3,,,,,,6,
MASKED_SET_7,Q71 — Microsoft,Q71,Which of these brands would you recommend to a friend?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_3,,,,,,7,
MASKED_SET_8,Q71 — Amazon,Q71,Which of these brands would you recommend to a friend?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_3,,,,,,8,
MASKED_SET_9,Q71 — Huawei,Q71,Which of these brands would you recommend to a friend?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_3,,,,,,9,
MASKED_SET_10,Q71 — Lenovo,Q71,Which of these brands would you recommend to a friend?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_3,,,,,,10,
MASKED_SET_11,Q71 — Dell,Q71,Which of these brands would you recommend to a friend?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_3,,,,,,11,
MASKED_SET_12,Q71 — LG,Q71,Which of these brands would you recommend to a friend?,numeric,multi_select,"0,1",0=Not selected; 1=Selected,p_listops_3,,,,,,12,
PRIORITIZED_PICK,Which brand would you buy from tomorrow?,Q72,Which brand would you buy from tomorrow?,numeric,single_select,,,p_listops_3,,,,,,,
L1_FAMILIAR_1,How familiar are you with …? (brand 1),Q73,How familiar are you with …?,numeric,single_select,"1,2,3,4",1=Very familiar; 2=Somewhat familiar; 3=Heard of it only; 4=Not familiar,p_l1_a,,,,,,,"iteration 1 of loop ""brand"""
L1_FAMILIAR_2,How familiar are you with …? (brand 2),Q73,How familiar are you with …?,numeric,single_select,"1,2,3,4",1=Very familiar; 2=Somewhat familiar; 3=Heard of it only; 4=Not familiar,p_l1_a,,,,,,,"iteration 2 of loop ""brand"""
L1_FAMILIAR_3,How familiar are you with …? (brand 3),Q73,How familiar are you with …?,numeric,single_select,"1,2,3,4",1=Very familiar; 2=Somewhat familiar; 3=Heard of it only; 4=Not familiar,p_l1_a,,,,,,,"iteration 3 of loop ""brand"""
L1_FAMILIAR_4,How familiar are you with …? (brand 4),Q73,How familiar are you with …?,numeric,single_select,"1,2,3,4",1=Very familiar; 2=Somewhat familiar; 3=Heard of it only; 4=Not familiar,p_l1_a,,,,,,,"iteration 4 of loop ""brand"""
L1_FAMILIAR_5,How familiar are you with …? (brand 5),Q73,How familiar are you with …?,numeric,single_select,"1,2,3,4",1=Very familiar; 2=Somewhat familiar; 3=Heard of it only; 4=Not familiar,p_l1_a,,,,,,,"iteration 5 of loop ""brand"""
L1_FAMILIAR_6,How familiar are you with …? (brand 6),Q73,How familiar are you with …?,numeric,single_select,"1,2,3,4",1=Very familiar; 2=Somewhat familiar; 3=Heard of it only; 4=Not familiar,p_l1_a,,,,,,,"iteration 6 of loop ""brand"""
L1_FAMILIAR_7,How familiar are you with …? (brand 7),Q73,How familiar are you with …?,numeric,single_select,"1,2,3,4",1=Very familiar; 2=Somewhat familiar; 3=Heard of it only; 4=Not familiar,p_l1_a,,,,,,,"iteration 7 of loop ""brand"""
L1_FAMILIAR_8,How familiar are you with …? (brand 8),Q73,How familiar are you with …?,numeric,single_select,"1,2,3,4",1=Very familiar; 2=Somewhat familiar; 3=Heard of it only; 4=Not familiar,p_l1_a,,,,,,,"iteration 8 of loop ""brand"""
L1_FAMILIAR_9,How familiar are you with …? (brand 9),Q73,How familiar are you with …?,numeric,single_select,"1,2,3,4",1=Very familiar; 2=Somewhat familiar; 3=Heard of it only; 4=Not familiar,p_l1_a,,,,,,,"iteration 9 of loop ""brand"""
L1_FAMILIAR_10,How familiar are you with …? (brand 10),Q73,How familiar are you with …?,numeric,single_select,"1,2,3,4",1=Very familiar; 2=Somewhat familiar; 3=Heard of it only; 4=Not familiar,p_l1_a,,,,,,,"iteration 10 of loop ""brand"""
L1_FAMILIAR_11,How familiar are you with …? (brand 11),Q73,How familiar are you with …?,numeric,single_select,"1,2,3,4",1=Very familiar; 2=Somewhat familiar; 3=Heard of it only; 4=Not familiar,p_l1_a,,,,,,,"iteration 11 of loop ""brand"""
L1_FAMILIAR_12,How familiar are you with …? (brand 12),Q73,How familiar are you with …?,numeric,single_select,"1,2,3,4",1=Very familiar; 2=Somewhat familiar; 3=Heard of it only; 4=Not familiar,p_l1_a,,,,,,,"iteration 12 of loop ""brand"""
L1_FREQ_1,How frequently do you use … products or services? (brand … of …) (brand 1),Q74,How frequently do you use … products or services? (brand … of …),numeric,single_select,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_l1_a,,,,,,,"iteration 1 of loop ""brand"""
L1_FREQ_2,How frequently do you use … products or services? (brand … of …) (brand 2),Q74,How frequently do you use … products or services? (brand … of …),numeric,single_select,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_l1_a,,,,,,,"iteration 2 of loop ""brand"""
L1_FREQ_3,How frequently do you use … products or services? (brand … of …) (brand 3),Q74,How frequently do you use … products or services? (brand … of …),numeric,single_select,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_l1_a,,,,,,,"iteration 3 of loop ""brand"""
L1_FREQ_4,How frequently do you use … products or services? (brand … of …) (brand 4),Q74,How frequently do you use … products or services? (brand … of …),numeric,single_select,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_l1_a,,,,,,,"iteration 4 of loop ""brand"""
L1_FREQ_5,How frequently do you use … products or services? (brand … of …) (brand 5),Q74,How frequently do you use … products or services? (brand … of …),numeric,single_select,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_l1_a,,,,,,,"iteration 5 of loop ""brand"""
L1_FREQ_6,How frequently do you use … products or services? (brand … of …) (brand 6),Q74,How frequently do you use … products or services? (brand … of …),numeric,single_select,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_l1_a,,,,,,,"iteration 6 of loop ""brand"""
L1_FREQ_7,How frequently do you use … products or services? (brand … of …) (brand 7),Q74,How frequently do you use … products or services? (brand … of …),numeric,single_select,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_l1_a,,,,,,,"iteration 7 of loop ""brand"""
L1_FREQ_8,How frequently do you use … products or services? (brand … of …) (brand 8),Q74,How frequently do you use … products or services? (brand … of …),numeric,single_select,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_l1_a,,,,,,,"iteration 8 of loop ""brand"""
L1_FREQ_9,How frequently do you use … products or services? (brand … of …) (brand 9),Q74,How frequently do you use … products or services? (brand … of …),numeric,single_select,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_l1_a,,,,,,,"iteration 9 of loop ""brand"""
L1_FREQ_10,How frequently do you use … products or services? (brand … of …) (brand 10),Q74,How frequently do you use … products or services? (brand … of …),numeric,single_select,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_l1_a,,,,,,,"iteration 10 of loop ""brand"""
L1_FREQ_11,How frequently do you use … products or services? (brand … of …) (brand 11),Q74,How frequently do you use … products or services? (brand … of …),numeric,single_select,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_l1_a,,,,,,,"iteration 11 of loop ""brand"""
L1_FREQ_12,How frequently do you use … products or services? (brand … of …) (brand 12),Q74,How frequently do you use … products or services? (brand … of …),numeric,single_select,"1,2,3,4,5,6",1=Daily; 2=Several times a week; 3=Weekly; 4=Monthly; 5=Less often; 6=Never,p_l1_a,,,,,,,"iteration 12 of loop ""brand"""
L1_SAT_1,"Please rate …, product …, in the … category. (brand 1)",Q75,"Please rate …, product …, in the … category.",numeric,slider,,,p_l1_a,,,,,,,"iteration 1 of loop ""brand"""
L1_SAT_2,"Please rate …, product …, in the … category. (brand 2)",Q75,"Please rate …, product …, in the … category.",numeric,slider,,,p_l1_a,,,,,,,"iteration 2 of loop ""brand"""
L1_SAT_3,"Please rate …, product …, in the … category. (brand 3)",Q75,"Please rate …, product …, in the … category.",numeric,slider,,,p_l1_a,,,,,,,"iteration 3 of loop ""brand"""
L1_SAT_4,"Please rate …, product …, in the … category. (brand 4)",Q75,"Please rate …, product …, in the … category.",numeric,slider,,,p_l1_a,,,,,,,"iteration 4 of loop ""brand"""
L1_SAT_5,"Please rate …, product …, in the … category. (brand 5)",Q75,"Please rate …, product …, in the … category.",numeric,slider,,,p_l1_a,,,,,,,"iteration 5 of loop ""brand"""
L1_SAT_6,"Please rate …, product …, in the … category. (brand 6)",Q75,"Please rate …, product …, in the … category.",numeric,slider,,,p_l1_a,,,,,,,"iteration 6 of loop ""brand"""
L1_SAT_7,"Please rate …, product …, in the … category. (brand 7)",Q75,"Please rate …, product …, in the … category.",numeric,slider,,,p_l1_a,,,,,,,"iteration 7 of loop ""brand"""
L1_SAT_8,"Please rate …, product …, in the … category. (brand 8)",Q75,"Please rate …, product …, in the … category.",numeric,slider,,,p_l1_a,,,,,,,"iteration 8 of loop ""brand"""
L1_SAT_9,"Please rate …, product …, in the … category. (brand 9)",Q75,"Please rate …, product …, in the … category.",numeric,slider,,,p_l1_a,,,,,,,"iteration 9 of loop ""brand"""
L1_SAT_10,"Please rate …, product …, in the … category. (brand 10)",Q75,"Please rate …, product …, in the … category.",numeric,slider,,,p_l1_a,,,,,,,"iteration 10 of loop ""brand"""
L1_SAT_11,"Please rate …, product …, in the … category. (brand 11)",Q75,"Please rate …, product …, in the … category.",numeric,slider,,,p_l1_a,,,,,,,"iteration 11 of loop ""brand"""
L1_SAT_12,"Please rate …, product …, in the … category. (brand 12)",Q75,"Please rate …, product …, in the … category.",numeric,slider,,,p_l1_a,,,,,,,"iteration 12 of loop ""brand"""
L1_WHY_1,Why do you use …? (brand 1),Q76,Why do you use …?,text,long_text,,,p_l1_b,,,,,,,"iteration 1 of loop ""brand"""
L1_WHY_2,Why do you use …? (brand 2),Q76,Why do you use …?,text,long_text,,,p_l1_b,,,,,,,"iteration 2 of loop ""brand"""
L1_WHY_3,Why do you use …? (brand 3),Q76,Why do you use …?,text,long_text,,,p_l1_b,,,,,,,"iteration 3 of loop ""brand"""
L1_WHY_4,Why do you use …? (brand 4),Q76,Why do you use …?,text,long_text,,,p_l1_b,,,,,,,"iteration 4 of loop ""brand"""
L1_WHY_5,Why do you use …? (brand 5),Q76,Why do you use …?,text,long_text,,,p_l1_b,,,,,,,"iteration 5 of loop ""brand"""
L1_WHY_6,Why do you use …? (brand 6),Q76,Why do you use …?,text,long_text,,,p_l1_b,,,,,,,"iteration 6 of loop ""brand"""
L1_WHY_7,Why do you use …? (brand 7),Q76,Why do you use …?,text,long_text,,,p_l1_b,,,,,,,"iteration 7 of loop ""brand"""
L1_WHY_8,Why do you use …? (brand 8),Q76,Why do you use …?,text,long_text,,,p_l1_b,,,,,,,"iteration 8 of loop ""brand"""
L1_WHY_9,Why do you use …? (brand 9),Q76,Why do you use …?,text,long_text,,,p_l1_b,,,,,,,"iteration 9 of loop ""brand"""
L1_WHY_10,Why do you use …? (brand 10),Q76,Why do you use …?,text,long_text,,,p_l1_b,,,,,,,"iteration 10 of loop ""brand"""
L1_WHY_11,Why do you use …? (brand 11),Q76,Why do you use …?,text,long_text,,,p_l1_b,,,,,,,"iteration 11 of loop ""brand"""
L1_WHY_12,Why do you use …? (brand 12),Q76,Why do you use …?,text,long_text,,,p_l1_b,,,,,,,"iteration 12 of loop ""brand"""
L1_NPS_1,How likely are you to buy from … again? (brand 1),Q77,How likely are you to buy from … again?,numeric,nps,,,p_l1_b,,,,,,,"iteration 1 of loop ""brand"""
L1_NPS_2,How likely are you to buy from … again? (brand 2),Q77,How likely are you to buy from … again?,numeric,nps,,,p_l1_b,,,,,,,"iteration 2 of loop ""brand"""
L1_NPS_3,How likely are you to buy from … again? (brand 3),Q77,How likely are you to buy from … again?,numeric,nps,,,p_l1_b,,,,,,,"iteration 3 of loop ""brand"""
L1_NPS_4,How likely are you to buy from … again? (brand 4),Q77,How likely are you to buy from … again?,numeric,nps,,,p_l1_b,,,,,,,"iteration 4 of loop ""brand"""
L1_NPS_5,How likely are you to buy from … again? (brand 5),Q77,How likely are you to buy from … again?,numeric,nps,,,p_l1_b,,,,,,,"iteration 5 of loop ""brand"""
L1_NPS_6,How likely are you to buy from … again? (brand 6),Q77,How likely are you to buy from … again?,numeric,nps,,,p_l1_b,,,,,,,"iteration 6 of loop ""brand"""
L1_NPS_7,How likely are you to buy from … again? (brand 7),Q77,How likely are you to buy from … again?,numeric,nps,,,p_l1_b,,,,,,,"iteration 7 of loop ""brand"""
L1_NPS_8,How likely are you to buy from … again? (brand 8),Q77,How likely are you to buy from … again?,numeric,nps,,,p_l1_b,,,,,,,"iteration 8 of loop ""brand"""
L1_NPS_9,How likely are you to buy from … again? (brand 9),Q77,How likely are you to buy from … again?,numeric,nps,,,p_l1_b,,,,,,,"iteration 9 of loop ""brand"""
L1_NPS_10,How likely are you to buy from … again? (brand 10),Q77,How likely are you to buy from … again?,numeric,nps,,,p_l1_b,,,,,,,"iteration 10 of loop ""brand"""
L1_NPS_11,How likely are you to buy from … again? (brand 11),Q77,How likely are you to buy from … again?,numeric,nps,,,p_l1_b,,,,,,,"iteration 11 of loop ""brand"""
L1_NPS_12,How likely are you to buy from … again? (brand 12),Q77,How likely are you to buy from … again?,numeric,nps,,,p_l1_b,,,,,,,"iteration 12 of loop ""brand"""
L1_ATTR_1_quality,Q78 — Product quality (brand 1),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,quality,,,"iteration 1 of loop ""brand"""
L1_ATTR_1_value,Q78 — Value for money (brand 1),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,value,,,"iteration 1 of loop ""brand"""
L1_ATTR_1_innovation,Q78 — Innovation (brand 1),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,innovation,,,"iteration 1 of loop ""brand"""
L1_ATTR_1_trust,Q78 — Trustworthiness (brand 1),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,trust,,,"iteration 1 of loop ""brand"""
L1_ATTR_2_quality,Q78 — Product quality (brand 2),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,quality,,,"iteration 2 of loop ""brand"""
L1_ATTR_2_value,Q78 — Value for money (brand 2),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,value,,,"iteration 2 of loop ""brand"""
L1_ATTR_2_innovation,Q78 — Innovation (brand 2),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,innovation,,,"iteration 2 of loop ""brand"""
L1_ATTR_2_trust,Q78 — Trustworthiness (brand 2),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,trust,,,"iteration 2 of loop ""brand"""
L1_ATTR_3_quality,Q78 — Product quality (brand 3),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,quality,,,"iteration 3 of loop ""brand"""
L1_ATTR_3_value,Q78 — Value for money (brand 3),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,value,,,"iteration 3 of loop ""brand"""
L1_ATTR_3_innovation,Q78 — Innovation (brand 3),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,innovation,,,"iteration 3 of loop ""brand"""
L1_ATTR_3_trust,Q78 — Trustworthiness (brand 3),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,trust,,,"iteration 3 of loop ""brand"""
L1_ATTR_4_quality,Q78 — Product quality (brand 4),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,quality,,,"iteration 4 of loop ""brand"""
L1_ATTR_4_value,Q78 — Value for money (brand 4),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,value,,,"iteration 4 of loop ""brand"""
L1_ATTR_4_innovation,Q78 — Innovation (brand 4),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,innovation,,,"iteration 4 of loop ""brand"""
L1_ATTR_4_trust,Q78 — Trustworthiness (brand 4),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,trust,,,"iteration 4 of loop ""brand"""
L1_ATTR_5_quality,Q78 — Product quality (brand 5),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,quality,,,"iteration 5 of loop ""brand"""
L1_ATTR_5_value,Q78 — Value for money (brand 5),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,value,,,"iteration 5 of loop ""brand"""
L1_ATTR_5_innovation,Q78 — Innovation (brand 5),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,innovation,,,"iteration 5 of loop ""brand"""
L1_ATTR_5_trust,Q78 — Trustworthiness (brand 5),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,trust,,,"iteration 5 of loop ""brand"""
L1_ATTR_6_quality,Q78 — Product quality (brand 6),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,quality,,,"iteration 6 of loop ""brand"""
L1_ATTR_6_value,Q78 — Value for money (brand 6),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,value,,,"iteration 6 of loop ""brand"""
L1_ATTR_6_innovation,Q78 — Innovation (brand 6),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,innovation,,,"iteration 6 of loop ""brand"""
L1_ATTR_6_trust,Q78 — Trustworthiness (brand 6),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,trust,,,"iteration 6 of loop ""brand"""
L1_ATTR_7_quality,Q78 — Product quality (brand 7),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,quality,,,"iteration 7 of loop ""brand"""
L1_ATTR_7_value,Q78 — Value for money (brand 7),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,value,,,"iteration 7 of loop ""brand"""
L1_ATTR_7_innovation,Q78 — Innovation (brand 7),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,innovation,,,"iteration 7 of loop ""brand"""
L1_ATTR_7_trust,Q78 — Trustworthiness (brand 7),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,trust,,,"iteration 7 of loop ""brand"""
L1_ATTR_8_quality,Q78 — Product quality (brand 8),Q78,"As a … company headquartered in …, how does … perform on…",numeric,matrix_single,"1,2,3,4,5",1=Poor; 2=Fair; 3=Good; 4=Very good; 5=Excellent,p_l1_b,,,,quality,,,"iteration 8 of loop ""brand"""
